Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
R Mason Thomas,EDGE,Oklahoma,Senior,6'2,249,4.62,37,20,31,29,41,60,,,,,20,,
Joshua Josephs,EDGE,Tennessee,Senior,6'3,240,4.68,63,24,58,54,37,61,,,30,,,,
Germie Bernard,WR,Alabama,Senior,6'1,204,4.52,40,45,61,35,53,62,,,18,,38,,
Antonio Williams,WR,Clemson,Junior,5'11,190,4.45,97,47,86,60,64,63,,,,,41,,
Brent Austin,CB,California,Senior,5'11,180,,,,133,,165,64,,,,,,,
Josh Cameron,WR,Baylor,Senior,6'1,224,,199,,110,,133,65,,,,,,,
Anthony Lucas,EDGE,USC,Senior,6'5,285,4.85,69,76,68,81,75,66,,,,,,,
Domonique Orange,DL,Iowa State,Senior senior,6'4,325,5.3,65,61,89,59,35,67,,,35,,,,
Zachariah Branch,WR,Georgia,Junior,5'10,180,4.35,86,94,,41,59,68,19,,33,,,,
Keyron Crawford,EDGE,Auburn,Senior,6'4,255,,300,,84,,140,69,,,,,,,
Jack Endries,TE,Texas,Junior,6'4,240,4.68,123,84,127,84,80,70,,,,,,,
Dontay Corleone,DL,Cincinnati,Senior,6'1,335,5.1,59,31,126,80,73,71,,,,,,,
Ethan Burke,EDGE,Texas,Senior,6'6,259,,359,,104,,143,72,,,,,,,
Nick Barrett,DL,South Carolina,Senior,6'2,323,,,,154,,195,73,,,,,,,
Zakee Wheatley,S,Penn State,Senior,6'2,200,4.4,96,59,81,68,146,74,,,,,,,
Kamari Ramsey,S,USC,Junior,6'0,205,4.52,55,34,34,48,38,75,,,32,,30,,
Will Lee III,CB,Texas A&M,Senior,6'1,189,4.55,105,51,57,72,117,76,,,,,29,,
Elijah Sarratt,WR,Indiana,Senior,6'2,209,4.6,66,35,41,39,49,77,,,,,,,
Arion Carter,LB,Tennessee ,,6'1,235,,,,,,,78,,,,,,,
Gabe Jacas,EDGE,Illinois,Senior ,6'3,275,4.8,39,79,,56,27,79,,,,,33,,
Darrell Jackson Jr.,DL,Florida State,Senior,6'5,337,5.05,88,73,69,71,71,80,,,,,47,,
Kevin Coleman Jr.,WR,Missouri,Senior,5'11,180,4.4,179,119,70,120,93,81,,,,,,,
Kyle Louis,LB,Pittsburgh,Junior,6'1,220,4.65,180,116,,132,,82,,,,,50,,
Malik Muhammad,CB,Texas,Junior,6'0,198,4.47,108,64,63,61,48,83,,,,,,,
L.T. Overton,EDGE,Alabama,Senior,6'5,278,4.85,52,40,42,34,22,84,,,27,,,,
Zion Young,EDGE,Missouri,Senior,6'5,262,4.76,47,44,72,45,76,85,,,23,,14,,
Clay Patterson ,DL,Stanford,Senior,6'3,280,,,,,,,86,,,,,,,
Jordan van den Berg,EDGE,Georgia Tech,Senior,6'3,300,,,,141,,,87,,,,,,,
Trinidad Chambliss,QB,Mississippi,Senior,6'1,200,4.45,67,99,129,50,87,88,,,,,,,
Demond Claiborne,RB,Wake Forest,Senior ,5'10,195,4.42,124,101,83,109,97,89,,,,,51,,
DeMonte Capehart,DL,Clemson,Senior,6'5,313,4.75,165,109,,135,83,90,,,,,52,,
Jonah Coleman,RB,Washington,Senior,5'9,228,4.5,80,36,49,65,54,91,,,,,,,
Vincent Anthony Jr,EDGE,Duke,Senior,6'6,260,,196,139,131,,198,92,,,,,,,
Tyreak Sapp,EDGE,Florida,Junior,6'3,272,4.76,101,87,88,90,47,93,,,,,57,,
Cian Sloan ,LB,North Carolina State,Senior,6'4,252,,,,,,,94,,,,,,,
Jacob Rodriguez,LB,Texas Tech,Senior,6'1,230,4.7,93,80,82,101,99,95,,,,,,,
Cade Klubnik,QB,Clemson,Senior,6'2,210,4.65,120,72,148,121,95,96,,,,,,,
Davison Igbinosun,CB,Ohio State,Senior,6'2,195,4.34,148,120,40,66,45,97,,,,,,,
Tim Keenan III,DL,Alabama,Senior,6'2,320,5.2,129,108,134,97,92,98,,,,,,,
Wydett Williams,S,Ole Miss,Senior,6'2,210,,,,,107,,99,,,,,,,
Red Murdock,LB,Buffalo,Senior,6'3,240,4.77,,135,90,,162,100,,,,,,,
Lander Barton,LB,Utah,Senior,6'5,236,4.55,224,136,,91,89,101,,,,,,,
Derrick Moore,EDGE,Michigan,Senior,6'3,260,4.65,77,85,59,82,69,102,,,,,34,,
Joe Royer,TE,Cincinnati ,Senior,6'5,250,4.65,,,92,93,,103,,,,,,,
Kaytron Allen,RB,Penn State,Senior,5'11,217,4.55,116,83,109,83,62,104,,,,,,,
Harold Perkins,LB,LSU,Junior,6'1,222,4.45,143,81,108,87,42,105,,,,,24,,
Daylen Everette,CB,Georgia,Senior,6'1,190,4.34,73,78,,103,58,106,,,,,,,
Dani Dennis-Sutton,EDGE,Penn State,Senior,6'5,265,4.68,92,42,118,51,26,107,,,,,44,,
Wesley Williams,EDGE,Duke,Junior,6'3,265,,,,,,,108,,,,,,,
Dallen Bentley,TE,Utah,Senior,6'4,259,,237,,38,100,188,109,,,,,,,
Robert Spears Jennings,S,Oklahoma,Senior,6'0,213,,177,168,,,,109,,,,,,,
Devonta Smith,CB,Norte Dame,Senior,6'0,205,,,227,,,252,110,,,,,,,
Oscar Delp,TE,Georgia,Senior,6'5,245,4.52,167,137,36,111,106,110,,,,,,,
Zxavian Harris,DL,Mississippi,Senior,6'8,330,,176,,97,124,51,111,,,,,,,
Sebastian Harsh,EDGE,North Carolina Stare,Senior,6'3,263,,,,,,227,112,,,,,,,
Garrett Nussmeier,QB,LSU,Senior,6'1,205,4.82,83,43,140,75,65,113,,,,,43,,
A.J. Holmes Jr,DL,Texas Tech,Junior,6'3,300,,,,,,,,,,,,,,
Aaron Anderson,WR,LSU,Junior,5'8,188,4.34,142,126,103,130,102,,,,,,45,,
Aaron Graves,DL,Iowa,Senior,6'5,295,4.9,,125,,,115,,,,,,,,
Adam Randall,RB,Clemson,Senior,6'2,235,,,,175,,185,,,,,,,,
Ahmaad Moses,S,SMU,Senior,5'10,205,,303,182,,,,,,,,,,,
AI-Jay Henderson,RB,Buffalo,Senior,5'10,216,,304,,,,,,,,,,,,
Aiden Fisher,LB,Indiana,Senior,6'1,231,,157,,,129,122,,,,,,,,
Aiden Hubbard,EDGE,Northwestern ,Graduated,6'4,255,,336,,,,280,,,,,,,,
Al'Zillion Hamilton,CB,Fresno State,Senior,5'11,185,,,,,,222,,,,,,,,
Albert Regis,DL,Texas A&M,Senior,6'1,317,4.85,119,124,,125,112,,,,,,,,
Alex Afari,LB,,,,,,,,178,,,,,,,,,,
Alex McLaughlin,S,Washington,Junior,6'2,198,,,,106,,,,,,,,,,
Alex McPherson,K,Auburn,,,,,,,,,,,,,,,,,
Alton McCaskill,RB,Sam Houston,Junior,6'1,205,4.48,,302,,,,,,,,,,,
Amari Jackson,CB,Maryland ,,5'11,190,,318,,,,,,,,,,,,
Amari Niblack,TE,Texas A&M,Senior,6'3,235,,355,,,,,,,,,,,,
Angel Johnson,RB,Washington State,Senior,5'9,192,,353,,,,,,,,,,,,
Anthony Hankerson,RB,Oregon State,Senior,5'8,206,,341,,,,235,,,,,,,,
Antonio Kite,CB,Ole Miss,Junior,6'0,180,4.48,,154,,,,,,,,,,,
Armoni Goodwin,RB,Utah Martin,Senior,5'8,195,4.42,,244,,,,,,,,,,,
Athan Kaliakmanis,QB,Rutgers,Senior,6'3,212,,240,,120,,289,,,,,,,,
Austin Brown,S,Wisconsin,Senior,6'1,216,,267,,,,255,,,,,,,,
Avante Dickerson,CB,Arkansas State,Senior,5'11,181,4.34,,241,,,,,,,,,,,
Avery Smith,CB,Toledo,Senior,5'10,185,,384,,,,273,,,,,,,,
Ayden Williams,WR,Mississippi State,Junior,6'3,205,4.65,,212,,,,,,,,,,,
