Rank,Player Name,Position,College,Year,Height,Weight,40 Time,PFF,PFN,SI,NFL Draft Buzz,Bleacher Report,Athletic,CBS,USA Today,SCOUTD,Mel Kiper,Matt Miller,Daniel Jeremiah,Dane Brugler,Charlie Campbell,Average,Remarks
29,Romello Height,EDGE,Texas Tech,Junior,6'3,240,4.7,,,,,,,,,,,,,,,
30,Akheem Mesidor,EDGE,Miami (FL),Senior,6'3,280,4.9,,,,,,,,,,,,,,,
31,R Mason Thomas,EDGE,Oklahoma,Senior,6'2,249,4.62,,,,,,,,,,,,,,,
35,L.T. Overton,EDGE,Alabama,Senior,6'5,278,4.85,,,,,,,,,,,,,,,
46,Zion Young,EDGE,Missouri,Senior,6'5,262,4.76,,,,,,,,,,,,,,,
49,Dani Dennis-Sutton,EDGE,Penn State,Senior,6'5,265,4.68,,,,,,,,,,,,,,,
52,Joshua Josephs,EDGE,Tennessee,Senior,6'3,240,4.68,,,,,,,,,,,,,,,
67,Gabe Jacas,EDGE,Illinois,Senior,6'3,275,4.8,,,,,,,,,,,,,,,
82,Derrick Moore,EDGE,Michigan,Senior,6'3,260,4.65,,,,,,,,,,,,,,,
88,Caden Curry,EDGE,Ohio State,Senior,6'3,260,4.78,,,,,,,,,,,,,,,
94,Malachi Lawrence,EDGE,UCF,Senior,6'4,250,4.78,,,,,,,,,,,,,,,
102,Tyreak Sapp,EDGE,Florida,Junior,6'3,272,4.76,,,,,,,,,,,,,,,
108,Anthony Lucas,EDGE,USC,Senior,6'5,285,4.85,,,,,,,,,,,,,,,
117,Keyron Crawford,EDGE,Auburn,Senior,6'4,255,,,,,,,,,,,,,,,,
122,Max Llewellyn,EDGE,Iowa,Senior,6'5,263,,,,,,,,,,,,,,,,
128,Patrick Payton,EDGE,LSU,Senior,6'6,255,,,,,,,,,,,,,,,,
129,Mikail Kamara,EDGE,Indiana,Senior,6'1,265,4.8,,,,,,,,,,,,,,,
138,Michael Kilbane,EDGE,Northwestern,,,,,,,,,,,,,,,,,,
149,Dominic Bailey,EDGE,Tennessee,,,,,,,,,,,,,,,,,,
158,Trey Moore,EDGE,Texas,Senior,6'3,249,4.6,,,,,,,,,,,,,,,
167,Roy Williams,EDGE,Northern Illinois,Senior,6'6,257,,,,,,,,,,,,,,,,
174,Jackson Kuwatch,EDGE,Miami (OH),,,,,,,,,,,,,,,,,,
193,Jack Pyburn,EDGE,LSU,Senior,6'4,264,,,,,,,,,,,,,,,,
199,Teitum Tuioti,EDGE,Oregon,,,,,,,,,,,,,,,,,,
2,Arvell Reese,LB,Ohio State,Junior,6'4,243,4.52,,,,,,,,,,,,,,,
14,Sonny Styles,LB,Ohio State,Senior,6'4,243,4.48,,,,,,,,,,,,,,,
23,C.J. Allen,LB,Georgia,Junior,6'2,235,4.55,,,,,,,,,,,,,,,
28,Anthony Hill Jr.,LB,Texas,Junior,6'3,238,4.5,,,,,,,,,,,,,,,
51,Jake Golday,LB,Cincinnati,Senior,6'4,240,4.55,,,,,,,,,,,,,,,
61,Josiah Trotter,LB,Missouri,Sophomore,6'2,237,4.61,,,,,,,,,,,,,,,
62,Deontae Lawson,LB,Alabama,Senior,6'2,228,4.6,,,,,,,,,,,,,,,
78,Harold Perkins,LB,LSU,Junior,6'1,222,4.45,,,,,,,,,,,,,,,
85,Jacob Rodriguez,LB,Texas Tech,Senior,6'1,230,4.7,,,,,,,,,,,,,,,
92,Taurean York,LB,Texas A&M,Junior,5'10,227,4.58,,,,,,,,,,,,,,,
101,Kyle Louis,LB,Pittsburgh,Junior,6'1,220,4.65,,,,,,,,,,,,,,,
107,Lander Barton,LB,Utah,Senior,6'5,236,4.55,,,,,,,,,,,,,,,
111,Jaishawn Barham,LB,Michigan,Senior,6'3,243,4.55,,,,,,,,,,,,,,,
134,Aiden Fisher,LB,Indiana,Senior,6'1,231,,,,,,,,,,,,,,,,
137,Red Murdock,LB,Buffalo,Senior,6'3,240,4.77,,,,,,,,,,,,,,,
145,Stanquan Clark,LB,Louisville,,,,,,,,,,,,,,,,,,
165,Justin Jefferson,LB,Alabama,Senior,6'1,227,,,,,,,,,,,,,,,,
168,Eric Gentry,LB,USC,Senior,6'6,225,4.56,,,,,,,,,,,,,,,
184,Bryce Boettcher,LB,Oregon,Senior,6'2,232,4.7,,,,,,,,,,,,,,,
1,Fernando Mendoza,QB,Indiana,Junior,6'5,225,4.85,,,,,,,,,,,,,,,
20,Ty Simpson,QB,Alabama,Junior,6'2,208,4.8,,,,,,,,,,,,,,,
36,Trinidad Chambliss,QB,Mississippi,Senior,6'1,200,4.45,,,,,,,,,,,,,,,
38,Garrett Nussmeier,QB,LSU,Senior,6'1,205,4.82,,,,,,,,,,,,,,,
54,Cade Klubnik,QB,Clemson,Senior,6'2,210,4.65,,,,,,,,,,,,,,,
77,Drew Allar,QB,Penn State,Senior,6'5,235,4.9,,,,,,,,,,,,,,,
80,Carson Beck,QB,Miami (FL),Senior,6'4,220,4.84,,,,,,,,,,,,,,,
127,Taylen Green,QB,Arkansas,Senior,6'6,224,4.44,,,,,,,,,,,,,,,
155,Sawyer Robertson,QB,Baylor,Senior,6'4,220,4.85,,,,,,,,,,,,,,,
164,Diego Pavia,QB,Vanderbilt,Senior,6'0,207,4.59,,,,,,,,,,,,,,,
192,Miller Moss,QB,Louisville,Senior,6'2,210,4.85,,,,,,,,,,,,,,,
199,Jalon Daniels,QB,Kansas,Senior,6'0,220,4.58,,,,,,,,,,,,,,,
200,Noah Fifta,QB,Arizona,Junior,5'10,186,4.75,,,,,,,,,,,,,,,
201,Luke Altmyer,QB,Illinois,Senior,6'2,205,4.75,,,,,,,,,,,,,,,
202,Conner Wegman,QB,Houston,Junior,6'3,210,4.85,,,,,,,,,,,,,,,
203,Kevin Jennings,QB,SMU,Junior,6'0,192,4.6,,,,,,,,,,,,,,,
204,Gunner Stockton,QB,Georgia,Junior,6'1,215,4.65,,,,,,,,,,,,,,,
205,Joey Aguilar,QB,Tennesse,Senior,6'3,225,4.85,,,,,,,,,,,,,,,
206,Hayes King,QB,Georgia Tech,Senior,6'3,215,4.45,,,,,,,,,,,,,,,
206,Kyron Jones,QB,Virginia Tech,Senior,6'2,235,4.72,,,,,,,,,,,,,,,
207,Tyler Van Dyke,QB,SMU,Senior,6'4,230,4.85,,,,,,,,,,,,,,,
208,Preston Stone,QB,Northwestern,Senior,6'1,215,4.9,,,,,,,,,,,,,,,
209,Kaiden Salter,QB,Colorado,Senior,6'1,190,4.5,,,,,,,,,,,,,,,
210,Blake Shapen,QB,Mississippi State,Senior,6'1,210,4.76,,,,,,,,,,,,,,,
211,Sam Huard,QB,USC,Senior,6'1,210,4.85,,,,,,,,,,,,,,,
212,Mathew Stuka,QB,James Madison,Senior,6'2,211,4.8,,,,,,,,,,,,,,,
213,Zach Calzada,QB,Kentucky,Senior,6'4,230,4.75,,,,,,,,,,,,,,,
214,Jeff Sims,QB,Arizona State,Senior,6'4,220,4.78,,,,,,,,,,,,,,,
215,Hank Brown,QB,Iowa,Sophomore,6'4,215,4.85,,,,,,,,,,,,,,,
216,Drew Payne,QB,Bowling Green,Senior,6'0,200,4.68,,,,,,,,,,,,,,,
217,Dylan Morris,QB,James Madison,Senior,6'1,202,4.85,,,,,,,,,,,,,,,
218,Cole Payton,QB,North Dakota State,Senior,6'3,233,,,,,,,,,,,,,,,,
219,Tommy Castellanos,QB,Florida State,Senior,5'11,201,,,,,,,,,,,,,,,,
220,Jake Retzlaff,QB,Tulane,Senior,6'1,205,,,,,,,,,,,,,,,,
221,Joe Fagnano,QB,UCONN,Graduated,6'4,225,,,,,,,,,,,,,,,,
